resstock_county_id,resstock_building_id,ecobee_building_id,simulation_reference,timestep,year,month,day,day_of_week,hour,minute,direct_solar_radiation,diffuse_solar_radiation,outdoor_air_temperature,average_indoor_air_temperature,occupant_count,cooling_load,heating_load,setpoint
"VT, Chittenden County",4421,,2,1,2020,1,1,1,1,0,0.0,0.0,-2.14,21.446935899405123,3.0,0.0,5.773122504013008,21.055555555555557
"VT, Chittenden County",4421,,2,2,2020,1,1,1,2,0,0.0,0.0,-2.92,21.397048336865062,3.0,0.0,6.060922820051168,21.055555555555557
"VT, Chittenden County",4421,,2,3,2020,1,1,1,3,0,0.0,0.0,-3.7,21.44066124260408,3.0,0.0,6.511402628333188,21.11111111111111
"VT, Chittenden County",4421,,2,4,2020,1,1,1,4,0,0.0,0.0,-3.99,21.429929129573345,3.0,0.0,6.69495734202088,21.11111111111111
"VT, Chittenden County",4421,,2,5,2020,1,1,1,5,0,0.0,0.0,-3.62,21.413678169744973,3.0,0.0,6.952264409658717,21.11111111111111
"VT, Chittenden County",4421,,2,6,2020,1,1,1,6,0,0.0,0.0,-3.4,21.51332013665813,3.0,0.0,6.903543716965112,21.22222222222222
"VT, Chittenden County",4421,,2,7,2020,1,1,1,7,0,0.0,0.0,-4.01,21.72778861247573,2.0000000000000004,0.0,7.93616988721423,21.444444444444443
"VT, Chittenden County",4421,,2,8,2020,1,1,1,8,0,0.0,0.0,-4.31,21.781184370506327,1.0,0.0,7.676836818200084,21.5
"VT, Chittenden County",4421,,2,9,2020,1,1,1,9,0,73.45,46.66,-3.61,21.661595450536723,1.0,0.0,7.31903843337168,21.38888888888889
"VT, Chittenden County",4421,,2,10,2020,1,1,1,10,0,102.02,43.75,-2.92,21.534732354570963,1.0,0.0,6.9830078710026635,21.27777777777778
"VT, Chittenden County",4421,,2,11,2020,1,1,1,11,0,193.25,74.81,-2.23,21.57665985652787,1.0,0.0,6.9338342163280196,21.333333333333336
"VT, Chittenden County",4421,,2,12,2020,1,1,1,12,0,62.94,59.0,-1.4,21.565742269112068,1.0,0.0,6.948420296820911,21.333333333333336
"VT, Chittenden County",4421,,2,13,2020,1,1,1,13,0,185.38,92.25,-0.63,21.559403017021854,0.0,0.0,6.676003841706337,21.333333333333336
"VT, Chittenden County",4421,,2,14,2020,1,1,1,14,0,190.49,92.15,-0.08,21.55256454921386,2.0000000000000004,0.0,6.1224021023688815,21.333333333333336
"VT, Chittenden County",4421,,2,15,2020,1,1,1,15,0,86.21,41.36,0.02,21.546855062262537,1.0,0.0,6.162150930898533,21.333333333333336
"VT, Chittenden County",4421,,2,16,2020,1,1,1,16,0,69.43,38.15,-0.56,21.54131501195949,1.0,0.0,6.135752791222232,21.333333333333336
"VT, Chittenden County",4421,,2,17,2020,1,1,1,17,0,0.0,0.0,-1.69,21.647463133413225,3.0,0.0,6.356083397181519,21.444444444444443
"VT, Chittenden County",4421,,2,18,2020,1,1,1,18,0,0.0,0.0,-1.96,21.754743406631707,3.0,0.0,6.538293426467314,21.555555555555557
"VT, Chittenden County",4421,,2,19,2020,1,1,1,19,0,0.0,0.0,-1.57,21.80630726870482,3.0,0.0,6.4555194863161525,21.611111111111114
"VT, Chittenden County",4421,,2,20,2020,1,1,1,20,0,0.0,0.0,-1.07,21.808048814220662,3.0,0.0,6.524363871791413,21.611111111111114
"VT, Chittenden County",4421,,2,21,2020,1,1,1,21,0,0.0,0.0,-1.06,21.803316459675997,3.0,0.0,6.699225192483544,21.611111111111114
