resstock_county_id,resstock_building_id,ecobee_building_id,simulation_reference,timestep,year,month,day,day_of_week,hour,minute,direct_solar_radiation,diffuse_solar_radiation,outdoor_air_temperature,average_indoor_air_temperature,occupant_count,cooling_load,heating_load,setpoint
"VT, Chittenden County",20199,,2,1,2020,1,1,1,1,0,0.0,0.0,-2.14,19.335838072326304,4.0,0.0,5.72167831279205,18.944444444444443
"VT, Chittenden County",20199,,2,2,2020,1,1,1,2,0,0.0,0.0,-2.92,19.32739226477718,4.0,0.0,6.193379346020607,18.944444444444443
"VT, Chittenden County",20199,,2,3,2020,1,1,1,3,0,0.0,0.0,-3.7,19.25384082719249,4.0,0.0,6.716427957339194,18.944444444444443
"VT, Chittenden County",20199,,2,4,2020,1,1,1,4,0,0.0,0.0,-3.99,19.228924796524915,4.0,0.0,7.074081095379432,18.944444444444443
"VT, Chittenden County",20199,,2,5,2020,1,1,1,5,0,0.0,0.0,-3.62,19.31012189579627,4.0,0.0,7.44030496585507,19.055555555555557
"VT, Chittenden County",20199,,2,6,2020,1,1,1,6,0,0.0,0.0,-3.4,19.514740418785614,4.0,0.0,7.669379670191247,19.27777777777778
"VT, Chittenden County",20199,,2,7,2020,1,1,1,7,0,0.0,0.0,-4.01,19.835821507471486,3.0,0.0,8.923476626114502,19.61111111111111
"VT, Chittenden County",20199,,2,8,2020,1,1,1,8,0,0.0,0.0,-4.31,19.949792905930344,3.0,0.0,7.790763415446007,19.72222222222222
"VT, Chittenden County",20199,,2,9,2020,1,1,1,9,0,73.45,46.66,-3.61,19.98582200722548,2.0,0.0,9.141740771280762,19.777777777777775
"VT, Chittenden County",20199,,2,10,2020,1,1,1,10,0,102.02,43.75,-2.92,19.96899875647457,1.0,0.0,9.162364697948528,19.777777777777775
"VT, Chittenden County",20199,,2,11,2020,1,1,1,11,0,193.25,74.81,-2.23,19.953594074833582,1.0,0.0,8.869874403783564,19.777777777777775
"VT, Chittenden County",20199,,2,12,2020,1,1,1,12,0,62.94,59.0,-1.4,19.93856776273735,1.0,0.0,8.692852073125403,19.777777777777775
"VT, Chittenden County",20199,,2,13,2020,1,1,1,13,0,185.38,92.25,-0.63,19.925610810113362,1.0,0.0,7.986096569715108,19.777777777777775
"VT, Chittenden County",20199,,2,14,2020,1,1,1,14,0,190.49,92.15,-0.08,19.914119731485677,2.0,0.0,7.559650049505155,19.777777777777775
"VT, Chittenden County",20199,,2,15,2020,1,1,1,15,0,86.21,41.36,0.02,19.90506692735384,2.0,0.0,7.3369385848362985,19.777777777777775
"VT, Chittenden County",20199,,2,16,2020,1,1,1,16,0,69.43,38.15,-0.56,19.950799672506207,3.0,0.0,6.995550710777649,19.833333333333332
"VT, Chittenden County",20199,,2,17,2020,1,1,1,17,0,0.0,0.0,-1.69,20.053797852060864,3.0,0.0,7.564353422371354,19.944444444444446
"VT, Chittenden County",20199,,2,18,2020,1,1,1,18,0,0.0,0.0,-1.96,20.15914474399083,3.0,0.0,7.979551419977536,20.055555555555554
"VT, Chittenden County",20199,,2,19,2020,1,1,1,19,0,0.0,0.0,-1.57,20.260783247032887,3.0,0.0,8.109683631790562,20.166666666666668
"VT, Chittenden County",20199,,2,20,2020,1,1,1,20,0,0.0,0.0,-1.07,20.2633063844712,3.0,0.0,8.209907634906784,20.166666666666668
"VT, Chittenden County",20199,,2,21,2020,1,1,1,21,0,0.0,0.0,-1.06,20.092755712741155,3.0,0.0,8.040116168521504,20.0
"VT, Chittenden County",20199,,2,22,2020,1,1,1,22,0,0.0,0.0,-1.63,19.765132762455565,4.0,0.0,7.301266340155809,19.66666666666667
"VT, Chittenden County",20199,,2,23,2020,1,1,1,23,0,0.0,0.0,-2.83,19.339041927608083,4.0,0.0,7.5807768798330795,19.27777777777778
"VT, Chittenden County",20199,,2,24,2020,1,1,1,24,0,0.0,0.0,-4.05,19.112972081298693,4.0,0.0,7.283574763868067,19.055555555555557
"VT, Chittenden County",20199,,2,25,2020,1,2,2,1,0,0.0,0.0,-4.15,18.99879771684053,4.0,0.0,7.6491721802210195,18.944444444444443
"VT, Chittenden County",20199,,2,26,2020,1,2,2,2,0,0.0,0.0,-3.87,18.976729398184105,4.0,0.0,7.8393108786367005,18.944444444444443
"VT, Chittenden County",20199,,2,27,2020,1,2,2,3,0,0.0,0.0,-3.36,18.97005306171046,4.0,0.0,7.806730126696158,18.944444444444443
"VT, Chittenden County",20199,,2,28,2020,1,2,2,4,0,0.0,0.0,-3.34,18.9723632207931,4.0,0.0,7.882976339089307,18.944444444444443
"VT, Chittenden County",20199,,2,29,2020,1,2,2,5,0,0.0,0.0,-4.02,19.083335964161883,4.0,0.0,8.259598532882618,19.055555555555557
"VT, Chittenden County",20199,,2,30,2020,1,2,2,6,0,0.0,0.0,-4.5,19.295398750009088,4.0,0.0,8.953114412153736,19.27777777777778
"VT, Chittenden County",20199,,2,31,2020,1,2,2,7,0,0.0,0.0,-5.03,19.643797660739246,4.0,0.0,9.27418638292549,19.61111111111111
"VT, Chittenden County",20199,,2,32,2020,1,2,2,8,0,0.0,0.0,-5.36,19.773805970861673,3.0,0.0,10.27601514780493,19.72222222222222
"VT, Chittenden County",20199,,2,33,2020,1,2,2,9,0,10.61,37.85,-4.96,19.825463236129796,2.0,0.0,10.065086014281988,19.777777777777775
"VT, Chittenden County",20199,,2,34,2020,1,2,2,10,0,93.14,55.36,-3.13,19.822437127564797,2.0,0.0,9.045058353484142,19.777777777777775
"VT, Chittenden County",20199,,2,35,2020,1,2,2,11,0,75.98,93.57,-0.84,19.819589273025617,2.0,0.0,7.905914534930157,19.777777777777775
"VT, Chittenden County",20199,,2,36,2020,1,2,2,12,0,90.25,113.98,0.11,19.81626506927882,2.0,0.0,6.714319780539128,19.777777777777775
"VT, Chittenden County",20199,,2,37,2020,1,2,2,13,0,121.22,90.28,0.59,19.813472672303295,3.0,0.0,6.692504078716163,19.777777777777775
"VT, Chittenden County",20199,,2,38,2020,1,2,2,14,0,76.73,68.64,0.9,19.810892227252186,3.0,0.0,6.170749707205378,19.777777777777775
"VT, Chittenden County",20199,,2,39,2020,1,2,2,15,0,71.94,57.71,1.01,19.80864538299295,3.0,0.0,5.927864962836425,19.777777777777775
"VT, Chittenden County",20199,,2,40,2020,1,2,2,16,0,18.91,34.95,0.86,19.862049266971233,3.0,0.0,6.263229453316461,19.833333333333332
"VT, Chittenden County",20199,,2,41,2020,1,2,2,17,0,0.0,0.0,0.1,19.97171415717236,2.0,0.0,7.349582345955547,19.944444444444446
"VT, Chittenden County",20199,,2,42,2020,1,2,2,18,0,0.0,0.0,-0.45,20.0834417093506,2.0,0.0,7.390156251106448,20.055555555555554
"VT, Chittenden County",20199,,2,43,2020,1,2,2,19,0,0.0,0.0,-0.31,20.18909797108347,2.0,0.0,7.672478711813972,20.166666666666668
"VT, Chittenden County",20199,,2,44,2020,1,2,2,20,0,0.0,0.0,0.04,20.195902460154773,2.0,0.0,7.585796775608935,20.166666666666668
"VT, Chittenden County",20199,,2,45,2020,1,2,2,21,0,0.0,0.0,0.38,20.030943349539907,3.0,0.0,6.884947425069775,20.0
"VT, Chittenden County",20199,,2,46,2020,1,2,2,22,0,0.0,0.0,0.83,19.710484779306945,3.0,0.0,5.969695710593198,19.66666666666667
"VT, Chittenden County",20199,,2,47,2020,1,2,2,23,0,0.0,0.0,1.09,19.290864881590384,3.0,0.0,5.6559945646018095,19.27777777777778
"VT, Chittenden County",20199,,2,48,2020,1,2,2,24,0,0.0,0.0,1.25,19.05760564242077,3.0,0.0,5.477454448173601,19.055555555555557
"VT, Chittenden County",20199,,2,49,2020,1,3,3,1,0,0.0,0.0,1.15,18.93822100883258,3.0,0.0,5.552177559720089,18.944444444444443
"VT, Chittenden County",20199,,2,50,2020,1,3,3,2,0,0.0,0.0,1.29,18.940323956997585,3.0,0.0,5.903476859864721,18.944444444444443
"VT, Chittenden County",20199,,2,51,2020,1,3,3,3,0,0.0,0.0,1.23,18.942290423190485,3.0,0.0,6.11065873449744,18.944444444444443
"VT, Chittenden County",20199,,2,52,2020,1,3,3,4,0,0.0,0.0,1.12,18.94266052667274,3.0,0.0,6.299414992911282,18.944444444444443
"VT, Chittenden County",20199,,2,53,2020,1,3,3,5,0,0.0,0.0,0.76,19.05484488785201,4.0,0.0,6.578531730481023,19.055555555555557
"VT, Chittenden County",20199,,2,54,2020,1,3,3,6,0,0.0,0.0,0.48,19.28023801761185,3.0,0.0,6.672927611953688,19.27777777777778
"VT, Chittenden County",20199,,2,55,2020,1,3,3,7,0,0.0,0.0,0.58,19.598028448495448,4.0,0.0,7.54949174770937,19.61111111111111
"VT, Chittenden County",20199,,2,56,2020,1,3,3,8,0,0.0,0.0,0.79,19.72936386200349,3.0,0.0,7.548406105119917,19.72222222222222
"VT, Chittenden County",20199,,2,57,2020,1,3,3,9,0,199.88,35.16,1.07,19.793253828177296,2.0,0.0,7.339682912658888,19.777777777777775
